dlf-0.0 -- Crop (defined in 'log-std.dai').

VERSION: 6.41
LOGFILE: crop.csv
RUN: Wed Aug 30 11:12:31 2023

COLUMN: *
CROP: *
INTERVAL: box none

LOG: Crop development and production.

SIMFILE: h:\From_SCIENCE\Documents\Teaching\Daisy_Summer_Course_2023\Exercise3_1\Exercise\Setup.dai
SIM: Simulation with spring barley

--------------------
year	month	mday	hour	DS	Height	LAI	Depth	WLeaf	WDead	WStem	WSOrg	WRoot	Fixated	NLeaf	NDead	NStem	NSOrg	NRoot	water_stress	nitrogen_stress	Phenology
				DS	cm	m^2/m^2	cm	Mg DM/ha	Mg DM/ha	Mg DM/ha	Mg DM/ha	Mg DM/ha	kg N/ha	kg N/ha	kg N/ha	kg N/ha	kg N/ha	kg N/ha			
2019	3	22	0	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00
2019	3	23	0	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00
2019	3	24	0	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00
2019	3	25	0	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00
2019	3	26	0	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00
2019	3	27	0	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00
2019	3	28	0	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00
2019	3	29	0	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00	00.00
2019	3	30	0	-1	0	0	-5	1e-05	0	0	0	1e-05	0	0	0	0	0	0	0	0	0
2019	3	31	0	-1	0	0	-5	1e-05	0	0	0	1e-05	0	0	0	0	0	0	0	0	0
2019	4	1	0	-0.920549	0	0	-5	1e-05	0	0	0	1e-05	0	0	0	0	0	0	0	0	0
2019	4	2	0	-0.845967	0	0	-5	1e-05	0	0	0	1e-05	0	0	0	0	0	0	0	0	0
2019	4	3	0	-0.790846	0	0	-5	1e-05	0	0	0	1e-05	0	0	0	0	0	0	0	0	0
2019	4	4	0	-0.74554	0	0	-5	1e-05	0	0	0	1e-05	0	0	0	0	0	0	0	0	0
2019	4	5	0	-0.677388	0	0	-5	1e-05	0	0	0	1e-05	0	0	0	0	0	0	0	0	0
2019	4	6	0	-0.590175	0	0	-5	1e-05	0	0	0	1e-05	0	0	0	0	0	0	0	0	0
2019	4	7	0	-0.499995	0	0	-5	1e-05	0	0	0	1e-05	0	0	0	0	0	0	0	0	0
2019	4	8	0	-0.410924	0	0	-5	1e-05	0	0	0	1e-05	0	0	0	0	0	0	0	0	0
2019	4	9	0	-0.315174	0	0	-5	1e-05	0	0	0	1e-05	0	0	0	0	0	0	0	0	0
2019	4	10	0	-0.224661	0	0	-5	1e-05	0	0	0	1e-05	0	0	0	0	0	0	0	0	0
2019	4	11	0	-0.147691	0	0	-5	1e-05	0	0	0	1e-05	0	0	0	0	0	0	0	0	0
2019	4	12	0	-0.0987275	0	0	-5	1e-05	0	0	0	1e-05	0	0	0	0	0	0	0	0	0
2019	4	13	0	-0.0602131	0	0	-5	1e-05	0	0	0	1e-05	0	0	0	0	0	0	0	0	0
2019	4	14	0	-0.0231191	0	0	-5	1e-05	0	0	0	1e-05	0	0	0	0	0	0	0	0	0
2019	4	15	0	0.01	1.69	4.0114e-05	-5	0.000209753	0	2.35479e-06	0	0.0012702	0	1.32285	0	0.00498339	0	2.67201	0	0	9
2019	4	16	0	0.0116015	1.69	0.000929514	-5	0.000895635	0	1.17115e-05	0	0.00493163	0	1.40775	0	0.00618291	0	2.58569	0	0	10
2019	4	17	0	0.014716	1.80051	0.00374162	-5	0.00202009	0	3.11892e-05	0	0.00945723	0	1.55797	0	0.00809447	0	2.4333	0	0	10
2019	4	18	0	0.0212509	2.0154	0.00831319	-5.04323	0.00406172	0	8.25922e-05	0	0.0145616	0	1.81513	0	0.0124681	0	2.17142	0	0	10
2019	4	19	0	0.0321579	2.46631	0.0166221	-5.19234	0.00733307	0	0.00020863	0	0.0206462	0	2.05122	0	0.0198333	0	1.9275	0	0	11
2019	4	20	0	0.0415132	3.2189	0.0297529	-5.56672	0.0115909	0	0.00042337	0	0.0279828	0	2.19904	0	0.0274157	0	1.77156	0	0	11
2019	4	21	0	0.0522789	3.86441	0.0465684	-6.19779	0.0164694	0	0.000737625	0	0.0357688	0	2.29771	0	0.0352754	0	1.66439	0	0	11
2019	4	22	0	0.0637348	4.60724	0.0656063	-6.95258	0.0222695	0	0.00120056	0	0.0443123	0	2.37676	0	0.0440733	0	1.57582	0	0	11
2019	4	23	0	0.0745991	5.3977	0.0881019	-7.71309	0.0290737	0	0.00184604	0	0.0536115	0	2.44343	0	0.053456	0	1.49894	0	0	11
2019	4	24	0	0.0876874	6.14734	0.114259	-8.64588	0.0376818	0	0.00282316	0	0.0643818	0	2.50813	0	0.0647736	0	1.42202	0	0	12
2019	4	25	0	0.100866	7.05043	0.147177	-9.79161	0.0480453	0	0.00420092	0	0.076306	0	2.76235	0	0.0832856	0	1.45204	0	0	12
2019	4	26	0	0.113982	7.13414	0.186266	-11.4941	0.0598063	0	0.00600096	0	0.0895667	0	3.42479	0	0.119033	0	1.69595	0	0	12
2019	4	27	0	0.127933	7.19142	0.23022	-13.4384	0.0734093	0	0.00838454	0	0.104624	0	4.18515	0	0.166376	0	1.97027	0	0	12
2019	4	28	0	0.139057	7.26725	0.280514	-15.1614	0.085135	0	0.0106536	0	0.117391	0	4.84758	0	0.211981	0	2.20619	0	0	12
2019	4	29	0	0.145267	7.33818	0.322668	-16.8495	0.0966925	0	0.0130175	0	0.129853	0	5.49361	0	0.259007	0	2.43394	0	0	12
2019	4	30	0	0.157435	7.41314	0.365342	-18.2772	0.112305	0	0.0165369	0	0.146461	0	6.34521	0	0.328574	0	2.7274	0	0	13
2019	5	1	0	0.169476	7.52587	0.422302	-19.6416	0.130882	0	0.0211249	0	0.165935	0	7.36706	0	0.419936	0	3.07564	0	0	13
2019	5	2	0	0.180647	7.67123	0.488957	-21.1224	0.147956	0	0.025696	0	0.183545	0	8.30533	0	0.511454	0	3.38996	0	0	13
2019	5	3	0	0.189823	7.81499	0.548979	-22.5086	0.16369	0	0.030189	0	0.199547	0	9.16501	0	0.601323	0	3.67351	0	0	13
2019	5	4	0	0.1931	7.95649	0.604131	-23.8702	0.177842	0	0.034328	0	0.213828	0	9.95469	0	0.684418	0	3.93445	0	0	14
