Date,year,month,day,Nitrogen_Level,Method,NDVI_mean,NDVI_SE,NDVI_CL_lower,NDVI_CL_Upper,LAI_mean,LAI_SE,LAI_CL_lower,LAI_CL_upper
2019-04-23 22:00:00 UTC,2019,4,23,160,NDVI_sensor,0.29,0.01,0.28,0.30,0.09,,0.08,0.10
2019-04-28 22:00:00 UTC,2019,4,28,160,NDVI_sensor,0.40,0.01,0.38,0.43,0.21,,0.18,0.25
2019-05-02 22:00:00 UTC,2019,5,2,160,NDVI_sensor,0.54,0.02,0.50,0.58,0.40,,0.34,0.47
2019-05-06 22:00:00 UTC,2019,5,6,160,NDVI_sensor,0.67,0.02,0.63,0.71,0.66,,0.56,0.78
2019-05-12 22:00:00 UTC,2019,5,12,160,NDVI_sensor,0.79,0.01,0.75,0.83,1.06,,0.89,1.30
2019-05-15 22:00:00 UTC,2019,5,15,160,NDVI_sensor,0.85,0.01,0.82,0.87,1.49,,1.29,1.78
2019-05-22 22:00:00 UTC,2019,5,22,160,NDVI_sensor,0.92,0.00,0.91,0.92,,,,
2019-05-29 22:00:00 UTC,2019,5,29,160,NDVI_sensor,0.92,0.00,0.91,0.92,,,,
2019-06-05 22:00:00 UTC,2019,6,5,160,NDVI_sensor,0.92,0.00,0.92,0.92,,,,
2019-06-24 22:00:00 UTC,2019,6,24,160,NDVI_sensor,0.91,0.00,0.91,0.91,,,,
2019-07-02 22:00:00 UTC,2019,7,2,160,NDVI_sensor,0.77,0.01,0.74,0.80,0.97,,0.86,1.11
2019-07-10 22:00:00 UTC,2019,7,10,160,NDVI_sensor,0.70,0.01,0.67,0.73,0.73,,0.65,0.83
2019-07-17 22:00:00 UTC,2019,7,17,160,NDVI_sensor,0.41,0.02,0.37,0.45,0.22,,0.17,0.28
2019-07-24 22:00:00 UTC,2019,7,24,160,NDVI_sensor,0.28,0.00,0.27,0.29,0.09,,0.08,0.10
2019-07-29 22:00:00 UTC,2019,7,29,160,NDVI_sensor,0.29,0.00,0.29,0.30,0.10,,0.09,0.11
2019-04-23 22:00:00 UTC,2019,4,23,0,NDVI_sensor,0.28,0.00,0.27,0.29,0.09,,0.08,0.10
2019-04-28 22:00:00 UTC,2019,4,28,0,NDVI_sensor,0.39,0.01,0.36,0.41,0.19,,0.16,0.23
2019-05-02 22:00:00 UTC,2019,5,2,0,NDVI_sensor,0.50,0.01,0.46,0.54,0.34,,0.28,0.40
2019-05-06 22:00:00 UTC,2019,5,6,0,NDVI_sensor,0.61,0.02,0.56,0.65,0.52,,0.44,0.62
2019-05-12 22:00:00 UTC,2019,5,12,0,NDVI_sensor,0.69,0.02,0.65,0.73,0.72,,0.61,0.84
2019-05-15 22:00:00 UTC,2019,5,15,0,NDVI_sensor,0.74,0.01,0.72,0.76,0.86,,0.79,0.95
2019-05-22 22:00:00 UTC,2019,5,22,0,NDVI_sensor,0.84,0.00,0.83,0.85,1.39,,1.33,1.46
2019-05-29 22:00:00 UTC,2019,5,29,0,NDVI_sensor,0.88,0.00,0.87,0.88,1.94,,1.86,2.03
2019-06-05 22:00:00 UTC,2019,6,5,0,NDVI_sensor,0.87,0.00,0.87,0.88,1.84,,1.79,1.90
2019-06-24 22:00:00 UTC,2019,6,24,0,NDVI_sensor,0.86,0.00,0.85,0.86,1.58,,1.53,1.63
2019-07-02 22:00:00 UTC,2019,7,2,0,NDVI_sensor,0.74,0.01,0.72,0.77,0.88,,0.78,1.00
2019-07-10 22:00:00 UTC,2019,7,10,0,NDVI_sensor,0.66,0.01,0.62,0.69,0.63,,0.56,0.70
2019-07-17 22:00:00 UTC,2019,7,17,0,NDVI_sensor,0.41,0.02,0.37,0.45,0.22,,0.17,0.28
2019-07-24 22:00:00 UTC,2019,7,24,0,NDVI_sensor,0.32,0.01,0.31,0.33,0.12,,0.11,0.13
2019-07-29 22:00:00 UTC,2019,7,29,0,NDVI_sensor,0.32,0.01,0.31,0.33,0.13,,0.12,0.13
2020-04-15 22:00:00 UTC,2020,4,15,0,NDVI_sensor,0.19,0.00,0.18,0.19,0.00,,0.00,0.01
2020-05-08 22:00:00 UTC,2020,5,8,0,NDVI_sensor,0.48,0.00,0.45,0.51,0.31,,0.27,0.36
2020-05-15 22:00:00 UTC,2020,5,15,0,NDVI_sensor,0.68,0.00,0.65,0.71,0.68,,0.61,0.76
2020-05-21 22:00:00 UTC,2020,5,21,0,NDVI_sensor,0.76,0.00,0.74,0.77,0.93,,0.88,0.98
2020-05-29 22:00:00 UTC,2020,5,29,0,NDVI_sensor,0.83,0.00,0.82,0.83,1.31,,1.27,1.36
2020-06-07 22:00:00 UTC,2020,6,7,0,NDVI_sensor,0.85,0.00,0.85,0.85,1.53,,1.49,1.56
2020-06-13 22:00:00 UTC,2020,6,13,0,NDVI_sensor,0.86,0.00,0.85,0.86,1.61,,1.56,1.68
